,Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles)
7740,2010,MO,Linn,683.66667,12.525,425,5449.5,"(39.8556605, -93.17796589999999)",0.07799,"[683.66667, 958.58333, 692.83333, 387.16667, 192.41667, 976.41667, 549.66667, 393.91667, 436.41667, 392.41667, 1245.08333, 259.16667, 583.08333]","[12.525, 8.65, 9.26667, 8.0, 8.06667, 8.90833, 11.45833, 9.825, 9.56667, 9.49167, 11.53333, 8.83333, 8.15]","[425, 1684, 590, 476, 46, 824, 203, 176, 356, 266, 1460, 178, 624]","[0.07799, 0.15195, 0.07886, 0.09841, 0.01927, 0.07504, 0.04233, 0.04389, 0.07806, 0.06443, 0.13528, 0.0606, 0.08732]","['(39.8556605, -93.17796589999999)', '(40.1993655, -92.539603)', '(39.871344, -92.539603)', '(40.1743786, -93.5003454)', '(40.4744901, -92.97755579999999)', '(39.1943564, -93.17796589999999)', '(39.5166572, -93.5003454)', '(39.9949074, -93.9878427)', '(39.6660775, -93.9878427)', '(39.5301517, -93.0175712)', '(39.4182626, -92.49999179999999)', '(40.1836505, -93.17796589999999)', '(39.8464073, -93.5003454)']",13,True,False,False,False
7746,2010,MO,Pike,808.25,9.775,562,8240.83333,"(39.3964742, -91.28910359999999)",0.0682,"[727.83333, 2697.0, 180.33333, 251.25, 632.91667, 251.0, 808.25, 494.83333, 1342.91667, 505.08333, 1897.91667, 1068.33333, 3148.25, 1853.08333, 673.0]","[8.96667, 7.73333, 6.98333, 8.74167, 9.28333, 10.03333, 9.775, 8.78333, 9.1, 12.26667, 10.99167, 9.61667, 11.78333, 8.26667, 11.14167]","[62, 3559, 92, 70, 263, 136, 562, 388, 334, 216, 1481, 937, 1677, 2942, 334]","[0.00763, 0.10196, 0.03556, 0.02426, 0.03858, 0.05443, 0.0682, 0.06886, 0.02261, 0.05246, 0.0858, 0.08414, 0.06279, 0.13147, 0.05524]","['(39.5662363, -90.8294002)', '(40.0577692, -91.13530200000001)', '(39.9379573, -90.7152749)', '(39.6094934, -90.4879916)', '(39.4029862, -90.37483540000001)', '(39.1733216, -90.658333)', '(39.3964742, -91.28910359999999)', '(39.5582351, -91.5983959)', '(39.8464028, -91.63721500000001)', '(39.5508815, -92.0665197)', '(38.7313284, -91.13530200000001)', '(39.22195300000001, -91.9099238)', '(39.0669568, -90.9820668)', '(38.8886044, -91.9099238)', '(38.9365599, -91.4821482)']",15,False,False,False,False
7752,2010,MO,Polk,1480.66667,10.28333,1712,14404.66667,"(37.6766686, -93.33889169999999)",0.11885,"[330.58333, 1480.66667, 583.33333, 884.16667, 2330.41667, 915.58333, 12069.0, 905.25, 464.25, 1976.41667, 1722.75, 1632.75, 3441.33333]","[9.71667, 10.28333, 9.54167, 12.14167, 12.03333, 12.55833, 8.34167, 11.9, 12.65, 12.41667, 10.51667, 9.29167, 8.41667]","[137, 1712, 721, 902, 1285, 677, 4461, 361, 269, 2563, 1022, 2466, 2895]","[0.04028, 0.11885, 0.11794, 0.12372, 0.06604, 0.09294, 0.03082, 0.04743, 0.07316, 0.16101, 0.06238, 0.14045, 0.07085]","['(37.48636090000001, -93.9878427)', '(37.6766686, -93.33889169999999)', '(37.7031209, -93.86553029999999)', '(38.3534598, -93.33889169999999)', '(38.0322944, -92.6983868)', '(37.6853001, -93.0175712)', '(37.3311215, -93.5003454)', '(37.3555654, -92.539603)', '(37.9747242, -93.29861059999999)', '(37.6965235, -92.539603)', '(37.3483339, -92.8577105)', '(37.1500679, -93.8248241)', '(36.99764400000001, -93.17796589999999)']",13,False,False,False,False
7758,2010,MO,Adair,958.58333,8.65,1684,11082.58333,"(40.1993655, -92.539603)",0.15195,"[302.5, 451.16667, 288.75, 156.16667, 683.66667, 958.58333, 430.0, 443.83333, 692.83333, 192.41667, 279.16667, 203.0, 185.83333, 259.16667]","[7.11667, 7.275, 7.275, 7.775, 12.525, 8.65, 12.4, 8.525, 9.26667, 8.06667, 8.6, 10.35, 8.05, 8.83333]","[76, 625, 188, 214, 425, 1684, 160, 273, 590, 46, 192, 49, 121, 178]","[0.01787, 0.1008, 0.04734, 0.1066, 0.07799, 0.15195, 0.04621, 0.05247, 0.07886, 0.01927, 0.05923, 0.025, 0.05249, 0.0606]","['(40.6913838, -92.38136209999999)', '(40.6806102, -92.8577105)', '(40.7001158, -91.9099238)', '(40.2058437, -92.2236667)', '(39.8556605, -93.17796589999999)', '(40.1993655, -92.539603)', '(40.3772378, -91.7538817)', '(40.0500853, -91.7538817)', '(39.871344, -92.539603)', '(40.4744901, -92.97755579999999)', '(39.8388716, -92.1057549)', '(40.4857709, -92.49999179999999)', '(40.4921465, -92.18432849999999)', '(40.1836505, -93.17796589999999)']",14,False,False,True,False
7764,2010,MO,Barry,1507.25,9.65833,1649,15615.83333,"(36.6345264, -93.8248241)",0.1056,"[7121.58333, 925.08333, 514.25, 1507.25, 2002.16667, 3627.58333, 5008.0, 2584.16667, 1632.75, 948.83333, 3441.33333]","[6.63333, 7.375, 7.09167, 9.65833, 13.91667, 14.01667, 8.48333, 8.99167, 9.29167, 9.15833, 8.41667]","[9441, 1469, 272, 1649, 1440, 4199, 4067, 2847, 2466, 914, 2895]","[0.08813, 0.11648, 0.03741, 0.1056, 0.09935, 0.16104, 0.0689, 0.09899, 0.14045, 0.08823, 0.07085]","['(36.2661518, -94.479976)', '(36.2987495, -93.5003454)', '(35.9466415, -93.66232389999999)', '(36.6345264, -93.8248241)', '(36.7748882, -93.4599326)', '(36.6576378, -93.0175712)', '(37.17455650000001, -94.35651299999999)', '(36.9618494, -94.315422)', '(37.1500679, -93.8248241)', '(36.617812, -94.315422)', '(36.99764400000001, -93.17796589999999)']",11,False,False,False,False
7770,2010,MO,Bates,922.66667,11.0,880,8396.25,"(38.3216754, -94.315422)",0.10481,"[506.08333, 1296.33333, 650.5, 18720.58333, 5138.33333, 922.66667, 583.33333, 1093.75, 791.41667, 38529.25, 2334.41667]","[11.15, 7.58333, 9.00833, 6.09167, 9.64167, 11.0, 9.54167, 10.775, 8.26667, 10.68333, 9.94167]","[328, 1176, 1099, 24832, 3880, 880, 721, 1735, 1642, 26399, 2790]","[0.07234, 0.06873, 0.15217, 0.08084, 0.07272, 0.10481, 0.11794, 0.17113, 0.17153, 0.07312, 0.11876]","['(38.1339574, -94.81059549999999)', '(38.6381689, -94.81059549999999)', '(37.7957092, -94.81059549999999)', '(38.845412, -94.8520636)', '(38.6574448, -94.315422)', '(38.3216754, -94.315422)', '(37.7031209, -93.86553029999999)', '(38.3386592, -93.8248241)', '(37.8148489, -94.315422)', '(38.9914998, -94.315422)', '(38.6744747, -93.8248241)']",11,False,False,False,False
7776,2010,MO,Boone,5970.83333,6.44167,11203,92559.16667,"(39.0468547, -92.38136209999999)",0.12104,"[2790.75, 5970.83333, 777.16667, 437.25, 505.08333, 976.41667, 1068.33333, 1853.08333, 392.41667, 624.5, 1245.08333, 673.0]","[6.85, 6.44167, 9.75833, 8.75833, 12.26667, 8.90833, 9.61667, 8.26667, 9.49167, 8.43333, 11.53333, 11.14167]","[909, 11203, 909, 122, 216, 824, 937, 2942, 266, 336, 1460, 334]","[0.02234, 0.12104, 0.11418, 0.02439, 0.05246, 0.07504, 0.08414, 0.13147, 0.06443, 0.04543, 0.13528, 0.05524]","['(38.5052486, -92.2630393)', '(39.0468547, -92.38136209999999)', '(38.8693247, -92.8577105)', '(39.2064126, -92.6983868)', '(39.5508815, -92.0665197)', '(39.1943564, -93.17796589999999)', '(39.22195300000001, -91.9099238)', '(38.8886044, -91.9099238)', '(39.5301517, -93.0175712)', '(38.5827118, -92.5792482)', '(39.4182626, -92.49999179999999)', '(38.9365599, -91.4821482)']",12,False,True,False,False
7782,2010,MO,Cedar,583.33333,9.54167,721,6113.5,"(37.7031209, -93.86553029999999)",0.11794,"[330.58333, 1480.66667, 922.66667, 583.33333, 1093.75, 593.08333, 915.58333, 12069.0, 5008.0, 791.41667, 464.25, 1632.75]","[9.71667, 10.28333, 11.0, 9.54167, 10.775, 10.31667, 12.55833, 8.34167, 8.48333, 8.26667, 12.65, 9.29167]","[137, 1712, 880, 721, 1735, 425, 677, 4461, 4067, 1642, 269, 2466]","[0.04028, 0.11885, 0.10481, 0.11794, 0.17113, 0.07382, 0.09294, 0.03082, 0.0689, 0.17153, 0.07316, 0.14045]","['(37.48636090000001, -93.9878427)', '(37.6766686, -93.33889169999999)', '(38.3216754, -94.315422)', '(37.7031209, -93.86553029999999)', '(38.3386592, -93.8248241)', '(37.4748791, -94.315422)', '(37.6853001, -93.0175712)', '(37.3311215, -93.5003454)', '(37.17455650000001, -94.35651299999999)', '(37.8148489, -94.315422)', '(37.9747242, -93.29861059999999)', '(37.1500679, -93.8248241)']",12,False,False,False,False
7788,2010,MO,Clark,430.0,12.4,160,3462.08333,"(40.3772378, -91.7538817)",0.04621,"[1574.41667, 302.5, 826.0, 635.41667, 288.75, 1504.25, 2697.0, 1053.33333, 156.16667, 958.58333, 430.0, 443.83333, 1342.91667, 279.16667, 203.0, 185.83333]","[8.85833, 7.11667, 8.29167, 7.08333, 7.275, 7.46667, 7.73333, 10.58333, 7.775, 8.65, 12.4, 8.525, 9.1, 8.6, 10.35, 8.05]","[2352, 76, 829, 702, 188, 2824, 3559, 154, 214, 1684, 160, 273, 334, 192, 49, 121]","[0.13257, 0.01787, 0.08324, 0.07838, 0.04734, 0.1397, 0.10196, 0.01546, 0.1066, 0.15195, 0.04621, 0.05247, 0.02261, 0.05923, 0.025, 0.05249]","['(40.70686630000001, -91.44346900000001)', '(40.6913838, -92.38136209999999)', '(41.0283603, -91.5983959)', '(41.0236358, -91.9099238)', '(40.7001158, -91.9099238)', '(40.9123374, -91.17369939999999)', '(40.0577692, -91.13530200000001)', '(40.38493649999999, -91.13530200000001)', '(40.2058437, -92.2236667)', '(40.1993655, -92.539603)', '(40.3772378, -91.7538817)', '(40.0500853, -91.7538817)', '(39.8464028, -91.63721500000001)', '(39.8388716, -92.1057549)', '(40.4857709, -92.49999179999999)', '(40.4921465, -92.18432849999999)']",16,True,False,False,False
7794,2010,MO,Henry,1093.75,10.775,1735,10138.25,"(38.3386592, -93.8248241)",0.17113,"[5138.33333, 922.66667, 583.33333, 1093.75, 884.16667, 1861.16667, 791.41667, 464.25, 2334.41667, 1719.41667]","[9.64167, 11.0, 9.54167, 10.775, 12.14167, 9.275, 8.26667, 12.65, 9.94167, 9.80833]","[3880, 880, 721, 1735, 902, 3490, 1642, 269, 2790, 1039]","[0.07272, 0.10481, 0.11794, 0.17113, 0.12372, 0.17381, 0.17153, 0.07316, 0.11876, 0.0592]","['(38.6574448, -94.315422)', '(38.3216754, -94.315422)', '(37.7031209, -93.86553029999999)', '(38.3386592, -93.8248241)', '(38.3534598, -93.33889169999999)', '(38.6893153, -93.33889169999999)', '(37.8148489, -94.315422)', '(37.9747242, -93.29861059999999)', '(38.6744747, -93.8248241)', '(39.0031288, -93.9878427)']",10,False,False,False,False
7800,2010,MO,Lewis,443.83333,8.525,273,5202.66667,"(40.0500853, -91.7538817)",0.05247,"[1574.41667, 288.75, 2697.0, 1053.33333, 156.16667, 958.58333, 430.0, 443.83333, 692.83333, 494.83333, 1342.91667, 505.08333, 279.16667, 203.0, 185.83333]","[8.85833, 7.275, 7.73333, 10.58333, 7.775, 8.65, 12.4, 8.525, 9.26667, 8.78333, 9.1, 12.26667, 8.6, 10.35, 8.05]","[2352, 188, 3559, 154, 214, 1684, 160, 273, 590, 388, 334, 216, 192, 49, 121]","[0.13257, 0.04734, 0.10196, 0.01546, 0.1066, 0.15195, 0.04621, 0.05247, 0.07886, 0.06886, 0.02261, 0.05246, 0.05923, 0.025, 0.05249]","['(40.70686630000001, -91.44346900000001)', '(40.7001158, -91.9099238)', '(40.0577692, -91.13530200000001)', '(40.38493649999999, -91.13530200000001)', '(40.2058437, -92.2236667)', '(40.1993655, -92.539603)', '(40.3772378, -91.7538817)', '(40.0500853, -91.7538817)', '(39.871344, -92.539603)', '(39.5582351, -91.5983959)', '(39.8464028, -91.63721500000001)', '(39.5508815, -92.0665197)', '(39.8388716, -92.1057549)', '(40.4857709, -92.49999179999999)', '(40.4921465, -92.18432849999999)']",15,False,False,False,False
7806,2010,MO,Macon,692.83333,9.26667,590,7481.41667,"(39.871344, -92.539603)",0.07886,"[156.16667, 683.66667, 958.58333, 443.83333, 692.83333, 437.25, 1342.91667, 505.08333, 192.41667, 279.16667, 392.41667, 1245.08333, 203.0, 185.83333, 259.16667]","[7.775, 12.525, 8.65, 8.525, 9.26667, 8.75833, 9.1, 12.26667, 8.06667, 8.6, 9.49167, 11.53333, 10.35, 8.05, 8.83333]","[214, 425, 1684, 273, 590, 122, 334, 216, 46, 192, 266, 1460, 49, 121, 178]","[0.1066, 0.07799, 0.15195, 0.05247, 0.07886, 0.02439, 0.02261, 0.05246, 0.01927, 0.05923, 0.06443, 0.13528, 0.025, 0.05249, 0.0606]","['(40.2058437, -92.2236667)', '(39.8556605, -93.17796589999999)', '(40.1993655, -92.539603)', '(40.0500853, -91.7538817)', '(39.871344, -92.539603)', '(39.2064126, -92.6983868)', '(39.8464028, -91.63721500000001)', '(39.5508815, -92.0665197)', '(40.4744901, -92.97755579999999)', '(39.8388716, -92.1057549)', '(39.5301517, -93.0175712)', '(39.4182626, -92.49999179999999)', '(40.4857709, -92.49999179999999)', '(40.4921465, -92.18432849999999)', '(40.1836505, -93.17796589999999)']",15,False,False,False,False
7812,2010,MO,Osage,516.08333,6.91667,288,7466.75,"(38.3853377, -91.9099238)",0.03857,"[2790.75, 516.08333, 2330.41667, 402.58333, 1526.5, 1784.75, 1897.91667, 1466.66667, 1853.08333, 1371.91667, 6058.91667, 624.5, 808.5, 673.0]","[6.85, 6.91667, 12.03333, 9.45, 12.85833, 9.01667, 10.99167, 8.78333, 8.26667, 12.7, 11.33333, 8.43333, 10.41667, 11.14167]","[909, 288, 1285, 170, 890, 3394, 1481, 2044, 2942, 1055, 4029, 336, 545, 334]","[0.02234, 0.03857, 0.06604, 0.03995, 0.07506, 0.17131, 0.0858, 0.12235, 0.13147, 0.09759, 0.07537, 0.04543, 0.07031, 0.05524]","['(38.5052486, -92.2630393)', '(38.3853377, -91.9099238)', '(38.0322944, -92.6983868)', '(38.1738674, -91.949021)', '(38.2081417, -92.38136209999999)', '(37.8806538, -91.7538817)', '(38.7313284, -91.13530200000001)', '(37.8727481, -92.2236667)', '(38.8886044, -91.9099238)', '(38.0561057, -91.28910359999999)', '(38.3953601, -91.13530200000001)', '(38.5827118, -92.5792482)', '(38.4335915, -91.4821482)', '(38.9365599, -91.4821482)']",14,False,False,False,False
7818,2010,MO,Ozark,422.83333,11.74167,245,3601.75,"(36.6720061, -92.38136209999999)",0.06802,"[1293.33333, 517.33333, 1559.66667, 405.25, 681.16667, 422.83333, 3627.58333, 1845.91667, 905.25, 637.41667, 3441.33333]","[7.825, 10.08333, 9.38333, 7.85, 10.15, 11.74167, 14.01667, 10.80833, 11.9, 12.18333, 8.41667]","[1844, 266, 2083, 278, 496, 245, 4199, 3146, 361, 402, 2895]","[0.11163, 0.05176, 0.12541, 0.05375, 0.07386, 0.06802, 0.16104, 0.18437, 0.04743, 0.07658, 0.07085]","['(36.3118662, -93.0175712)', '(36.1610924, -91.9099238)', '(36.3261815, -92.38136209999999)', '(36.3797374, -91.7928402)', '(36.3194702, -92.6983868)', '(36.6720061, -92.38136209999999)', '(36.6576378, -93.0175712)', '(36.8527979, -91.9099238)', '(37.3555654, -92.539603)', '(36.9708648, -92.49999179999999)', '(36.99764400000001, -93.17796589999999)']",11,False,False,False,False
