,Year,State,County,Average Number Unemployed,Average Percent Unemployed,Number of Crimes,Total Labor Force,Crimes Per 100 Workers
338,2012,AR,white,2850.25,7.85,4336,36245.91667,11.962726834796312
339,2013,AR,white,2735.333333,7.783333333,3833,35093.91667,10.922120879362081
340,2014,AR,white,2420.5,7.033333333,3424,34473.58333,9.932242805233209
341,2015,AR,white,2145.416667,6.216666667,2847,34536.5,8.243452579155386
342,2010,AR,baxter,1559.666667,9.383333333,2083,16609.75,12.540826923945273
343,2011,AR,baxter,1540.916667,9.283333333,2514,16602.25,15.142525862458402
344,2012,AR,baxter,1378.583333,8.416666667000001,2543,16373.0,15.531667989983507
345,2013,AR,baxter,1292.083333,8.033333333,2457,16066.583330000001,15.29261044202358
346,2014,AR,baxter,1066.916667,6.683333332999999,2547,15985.416669999999,15.933272510687708
347,2015,AR,baxter,888.0833332999998,5.475,2869,16217.416669999999,17.69085704819595
348,2010,AR,dallas,430.33333330000005,12.34166667,343,3487.416667,9.835360461675513
349,2011,AR,dallas,414.0833333,12.45833333,410,3321.583333,12.343510877076044
350,2012,AR,dallas,366.5,11.51666667,539,3181.333333,16.94258172851452
351,2013,AR,dallas,318.3333333,10.84166667,550,2934.5,18.74254557846311
352,2014,AR,dallas,267.5833333,9.3,508,2878.0,17.651146629603893
353,2015,AR,dallas,206.58333330000002,7.2,512,2872.166667,17.826263562023296
354,2010,AR,greene,1914.75,9.741666667,4150,19682.33333,21.08489847428064
355,2011,AR,greene,1958.1666670000002,9.725,4642,20146.83333,23.040841823452954
356,2012,AR,greene,1731.4166670000002,8.666666667000001,3959,20006.5,19.78856871516757
357,2013,AR,greene,1530.916667,7.8833333329999995,4288,19419.91667,22.080424302871123
358,2014,AR,greene,1239.583333,6.333333333,4704,19626.83333,23.96718778270687
359,2015,AR,greene,1031.916667,5.175,3977,19949.66667,19.9351701749511
360,2010,AR,howard,508.33333330000005,7.766666667000001,710,6545.333333,10.847423100980212
361,2011,AR,howard,505.75,7.4916666670000005,647,6745.333333,9.591816565012444
362,2012,AR,howard,430.58333330000005,6.691666667000001,808,6433.666667,12.55893476956847
363,2013,AR,howard,398.5,6.391666667000001,893,6234.833333,14.322756556674745
364,2014,AR,howard,359.0,5.841666667,617,6195.75,9.958439252713553
365,2015,AR,howard,255.25,4.2,536,6057.166667,8.84902181939581
366,2010,AR,lonoke,2251.0,6.775,4723,33287.33333,14.188580242153028
367,2011,AR,lonoke,2325.0,6.95,4824,33448.08333,14.422351057925326
368,2012,AR,lonoke,2101.0,6.341666667,4405,33083.16667,13.314928537341252
369,2013,AR,lonoke,1996.75,6.091666667,4032,32796.5,12.293994786028998
370,2014,AR,lonoke,1669.75,5.091666667,3856,32746.75,11.77521433424691
371,2015,AR,lonoke,1381.583333,4.175,3347,32999.58333,10.142552305977857
372,2010,AR,miller,1196.333333,5.825,4910,20560.16667,23.8811293644051
373,2011,AR,miller,1323.583333,6.358333332999999,5626,20807.33333,27.038544107372164
374,2012,AR,miller,1204.75,5.958333333,5266,20259.91667,25.992209572103835
375,2013,AR,miller,1253.166667,6.408333333,4497,19555.91667,22.995598088729228
376,2014,AR,miller,1124.833333,5.825,4718,19371.91667,24.35484356231231
377,2015,AR,miller,994.0,5.0,4624,19910.16667,23.224315881630943
378,2010,AR,monroe,315.0833333,9.25,315,3413.0,9.229416935247583
379,2011,AR,monroe,323.0,9.516666667,212,3390.083333,6.253533591234585
380,2012,AR,monroe,295.6666667,9.05,450,3269.833333,13.762169327056645
381,2013,AR,monroe,273.6666667,8.766666667,321,3120.666667,10.28626361778613
382,2014,AR,monroe,207.91666669999998,6.725,275,3093.083333,8.890804753497406
383,2015,AR,monroe,179.75,6.041666667,449,2972.666667,15.104283469936725
384,2010,AR,nevada,401.5833333,10.0,417,4015.5,10.38475905864774
385,2011,AR,nevada,396.3333333,9.466666667,524,4180.5,12.534385839014472
386,2012,AR,nevada,320.75,7.775,423,4128.916667,10.244818050719937
387,2013,AR,nevada,291.1666667,7.7,357,3779.333333,9.446110425952206
388,2014,AR,nevada,222.58333330000002,6.025,370,3683.083333,10.045930720188785
389,2015,AR,nevada,181.41666669999998,5.008333333,142,3633.333333,3.9082568810925005
390,2010,AR,saline,3558.0,6.683333332999999,4510,53382.08333,8.448527518343298
391,2011,AR,saline,3607.833333,6.65,7223,54212.25,13.323556945155385
392,2012,AR,saline,3321.166667,6.108333332999999,7056,54388.083329999994,12.973430148636938
393,2013,AR,saline,3164.416667,5.783333333,4792,54784.5,8.746999607553231
394,2014,AR,saline,2638.833333,4.833333333,5111,54611.0,9.358920364029224
395,2015,AR,saline,2278.0,4.066666667,6137,55992.333329999994,10.96042910701825
396,2010,AR,sevier,496.33333330000005,7.041666667,807,7059.0,11.432214194645134
397,2011,AR,sevier,590.1666667000001,9.216666667,653,6402.5,10.19914096056228
398,2012,AR,sevier,537.5,8.766666667,885,6130.5,14.436016638120872
399,2013,AR,sevier,494.83333330000005,8.325,876,5925.666667,14.783146761839278
400,2014,AR,sevier,404.5833333,6.983333332999999,809,5792.75,13.965733028354407
401,2015,AR,sevier,342.8333333,6.1,687,5603.25,12.260741533931201
402,2010,AR,carroll,925.0833332999998,7.375,1469,12611.25,11.648329864208543
403,2011,AR,carroll,931.6666667000002,7.2416666670000005,1502,12895.91667,11.647097592481574
