,Year,Average Total Employment,county,state
5106,2010,38387.66667,Bartholomew County,IN
5107,2011,40024.16667,Bartholomew County,IN
5108,2012,41409,Bartholomew County,IN
5109,2013,41586.66667,Bartholomew County,IN
5110,2014,42577,Bartholomew County,IN
5111,2015,43580.08333,Bartholomew County,IN
5112,2010,5024.583333,Switzerland County,IN
5113,2011,4986.833333,Switzerland County,IN
5114,2012,4889.833333,Switzerland County,IN
5115,2013,4882.833333,Switzerland County,IN
5116,2014,4799.916667,Switzerland County,IN
5117,2015,4854,Switzerland County,IN
5118,2010,92127.08333,Vanderburgh County,IN
5119,2011,92759.5,Vanderburgh County,IN
5120,2012,91824.58333,Vanderburgh County,IN
5121,2013,90899,Vanderburgh County,IN
5122,2014,92029.58333,Vanderburgh County,IN
5123,2015,92238.5,Vanderburgh County,IN
5124,2010,1414.083333,Elk County,KS
5125,2011,1382.083333,Elk County,KS
5126,2012,1347.333333,Elk County,KS
5127,2013,1323.083333,Elk County,KS
5128,2014,1308.25,Elk County,KS
5129,2015,1279.5,Elk County,KS
5130,2010,4631,Clay County,KS
5131,2011,4388.5,Clay County,KS
5132,2012,4246.583333,Clay County,KS
5133,2013,4193.666667,Clay County,KS
5134,2014,4168.833333,Clay County,KS
5135,2015,4116.916667,Clay County,KS
5136,2010,18113.91667,Ford County,KS
5137,2011,18271.08333,Ford County,KS
5138,2012,18822.83333,Ford County,KS
5139,2013,18628.41667,Ford County,KS
5140,2014,18173.83333,Ford County,KS
5141,2015,18062.16667,Ford County,KS
5142,2010,1504.583333,Gove County,KS
5143,2011,1498.166667,Gove County,KS
5144,2012,1512.75,Gove County,KS
5145,2013,1488.166667,Gove County,KS
5146,2014,1482.666667,Gove County,KS
5147,2015,1486.5,Gove County,KS
5148,2010,3489.25,Gray County,KS
5149,2011,3584.333333,Gray County,KS
5150,2012,3561.416667,Gray County,KS
5151,2013,3487.583333,Gray County,KS
5152,2014,3494.583333,Gray County,KS
5153,2015,3600.583333,Gray County,KS
5154,2010,985,Lane County,KS
5155,2011,958.75,Lane County,KS
5156,2012,899.9166667,Lane County,KS
5157,2013,882.5833333,Lane County,KS
5158,2014,862.9166667,Lane County,KS
5159,2015,877.75,Lane County,KS
5160,2010,4534.333333,Linn County,KS
5161,2011,4501.166667,Linn County,KS
5162,2012,4381.75,Linn County,KS
5163,2013,4334.083333,Linn County,KS
5164,2014,4318.666667,Linn County,KS
5165,2015,4327.833333,Linn County,KS
5166,2010,17481.75,Lyon County,KS
5167,2011,17332.33333,Lyon County,KS
5168,2012,17227,Lyon County,KS
5169,2013,16426.41667,Lyon County,KS
5170,2014,16511.5,Lyon County,KS
5171,2015,16636.5,Lyon County,KS
5172,2010,1617.916667,Ness County,KS
5173,2011,1622.416667,Ness County,KS
5174,2012,1625.666667,Ness County,KS
5175,2013,1601.416667,Ness County,KS
5176,2014,1612.333333,Ness County,KS
5177,2015,1537.166667,Ness County,KS
5178,2010,32894.08333,Reno County,KS
5179,2011,32636.08333,Reno County,KS
5180,2012,32066.83333,Reno County,KS
5181,2013,31588.41667,Reno County,KS
5182,2014,31182.16667,Reno County,KS
5183,2015,30841.66667,Reno County,KS
5184,2010,5305.75,Rice County,KS
5185,2011,5388.25,Rice County,KS
5186,2012,5403.166667,Rice County,KS
5187,2013,5441.583333,Rice County,KS
5188,2014,5446.25,Rice County,KS
5189,2015,5477.833333,Rice County,KS
5190,2010,1792.5,Rush County,KS
5191,2011,1841.166667,Rush County,KS
5192,2012,1890.5,Rush County,KS
5193,2013,1809.166667,Rush County,KS
5194,2014,1807.333333,Rush County,KS
5195,2015,1794.833333,Rush County,KS
5196,2010,7009.583333,Allen County,KS
5197,2011,7031.166667,Allen County,KS
5198,2012,6862.166667,Allen County,KS
5199,2013,6889.916667,Allen County,KS
5200,2014,6806.083333,Allen County,KS
5201,2015,6605.333333,Allen County,KS
5202,2010,5266.416667,Brown County,KS
5203,2011,5185.75,Brown County,KS
5204,2012,5235.75,Brown County,KS
5205,2013,5454.666667,Brown County,KS
5206,2014,5406.666667,Brown County,KS
5207,2015,5355.333333,Brown County,KS
5208,2010,1441.833333,Chase County,KS
5209,2011,1337.333333,Chase County,KS
5210,2012,1324.583333,Chase County,KS
5211,2013,1250.333333,Chase County,KS
5212,2014,1232.416667,Chase County,KS
5213,2015,1252.166667,Chase County,KS
5214,2010,1223.25,Clark County,KS
5215,2011,1211.5,Clark County,KS
5216,2012,1200.583333,Clark County,KS
5217,2013,1187.583333,Clark County,KS
5218,2014,1143.583333,Clark County,KS
5219,2015,1159.166667,Clark County,KS
5220,2010,4654.25,Cloud County,KS
5221,2011,4526.5,Cloud County,KS
5222,2012,4572.666667,Cloud County,KS
5223,2013,4452.166667,Cloud County,KS
5224,2014,4389.083333,Cloud County,KS
5225,2015,4311.833333,Cloud County,KS
5226,2010,17642.33333,Ellis County,KS
5227,2011,17841.5,Ellis County,KS
5228,2012,18019.83333,Ellis County,KS
5229,2013,18044.33333,Ellis County,KS
