,Year,Average (Monthly) Number Unemployed,county,state
246,2010,2879.5,Jackson County,AL
247,2011,2480.666667,Jackson County,AL
248,2012,2035.75,Jackson County,AL
249,2013,1865,Jackson County,AL
250,2014,1702.083333,Jackson County,AL
251,2015,1560.833333,Jackson County,AL
252,2010,803,Lowndes County,AL
253,2011,749.8333333,Lowndes County,AL
254,2012,629,Lowndes County,AL
255,2013,565.5,Lowndes County,AL
256,2014,496,Lowndes County,AL
257,2015,441.5833333,Lowndes County,AL
258,2010,14177.08333,Madison County,AL
259,2011,14213.66667,Madison County,AL
260,2012,11810.33333,Madison County,AL
261,2013,10811.75,Madison County,AL
262,2014,10494.08333,Madison County,AL
263,2015,9373.333333,Madison County,AL
264,2010,1114.666667,Marengo County,AL
265,2011,990.8333333,Marengo County,AL
266,2012,777,Marengo County,AL
267,2013,678.5833333,Marengo County,AL
268,2014,607.5,Marengo County,AL
269,2015,566.5,Marengo County,AL
270,2010,1011.5,Pickens County,AL
271,2011,907,Pickens County,AL
272,2012,757.9166667,Pickens County,AL
273,2013,693.1666667,Pickens County,AL
274,2014,636,Pickens County,AL
275,2015,541.5833333,Pickens County,AL
276,2010,2589.166667,Russell County,AL
277,2011,2527.25,Russell County,AL
278,2012,2185.833333,Russell County,AL
279,2013,1809.916667,Russell County,AL
280,2014,1618.083333,Russell County,AL
281,2015,1429.583333,Russell County,AL
282,2010,1578.833333,Winston County,AL
283,2011,1326.916667,Winston County,AL
284,2012,960,Winston County,AL
285,2013,907.0833333,Winston County,AL
286,2014,827.9166667,Winston County,AL
287,2015,706.25,Winston County,AL
288,2010,2199.75,Chambers County,AL
289,2011,1819.75,Chambers County,AL
290,2012,1493.666667,Chambers County,AL
291,2013,1217.166667,Chambers County,AL
292,2014,1025.416667,Chambers County,AL
293,2015,905.5833333,Chambers County,AL
294,2010,1218.833333,Cherokee County,AL
295,2011,1111.5,Cherokee County,AL
296,2012,904.75,Cherokee County,AL
297,2013,754.1666667,Cherokee County,AL
298,2014,660.8333333,Cherokee County,AL
299,2015,608.75,Cherokee County,AL
300,2010,604,Cleburne County,AL
301,2011,574.3333333,Cleburne County,AL
302,2012,479.5833333,Cleburne County,AL
303,2013,446.9166667,Cleburne County,AL
304,2014,386.1666667,Cleburne County,AL
305,2015,342.25,Cleburne County,AL
306,2010,638.75,Crenshaw County,AL
307,2011,633.8333333,Crenshaw County,AL
308,2012,519.4166667,Crenshaw County,AL
309,2013,482.6666667,Crenshaw County,AL
310,2014,436.5,Crenshaw County,AL
311,2015,380.5,Crenshaw County,AL
312,2010,1769.083333,Escambia County,AL
313,2011,1623,Escambia County,AL
314,2012,1358.166667,Escambia County,AL
315,2013,1227.333333,Escambia County,AL
316,2014,1149.25,Escambia County,AL
317,2015,1026,Escambia County,AL
318,2010,1530.75,Franklin County,AL
319,2011,1375.5,Franklin County,AL
320,2012,1169.916667,Franklin County,AL
321,2013,1099.75,Franklin County,AL
322,2014,1060.416667,Franklin County,AL
323,2015,878.6666667,Franklin County,AL
324,2010,1877,Lawrence County,AL
325,2011,1610.666667,Lawrence County,AL
326,2012,1297.083333,Lawrence County,AL
327,2013,1189.25,Lawrence County,AL
328,2014,1152.916667,Lawrence County,AL
329,2015,1056.5,Lawrence County,AL
330,2010,3997.333333,Marshall County,AL
331,2011,3869.166667,Marshall County,AL
332,2012,3163.166667,Marshall County,AL
333,2013,2772.583333,Marshall County,AL
334,2014,2660.916667,Marshall County,AL
335,2015,2333,Marshall County,AL
336,2010,1296.416667,Randolph County,AL
337,2011,1073.083333,Randolph County,AL
338,2012,838.5833333,Randolph County,AL
339,2013,713.5833333,Randolph County,AL
340,2014,624,Randolph County,AL
341,2015,556.9166667,Randolph County,AL
342,2010,1695.916667,Covington County,AL
343,2011,1603,Covington County,AL
344,2012,1366.666667,Covington County,AL
345,2013,1297.583333,Covington County,AL
346,2014,1236.416667,Covington County,AL
347,2015,1104.083333,Covington County,AL
348,2010,32892.5,Jefferson County,AL
349,2011,29735.58333,Jefferson County,AL
350,2012,23490.91667,Jefferson County,AL
351,2013,20978.75,Jefferson County,AL
352,2014,19626.33333,Jefferson County,AL
353,2015,17924.58333,Jefferson County,AL
354,2010,3695.5,Limestone County,AL
355,2011,3358.75,Limestone County,AL
356,2012,2678.5,Limestone County,AL
357,2013,2465.916667,Limestone County,AL
358,2014,2414,Limestone County,AL
359,2015,2191.25,Limestone County,AL
360,2010,3882.5,St. Clair County,AL
361,2011,3373.833333,St. Clair County,AL
362,2012,2645.416667,St. Clair County,AL
363,2013,2380.166667,St. Clair County,AL
364,2014,2221.583333,St. Clair County,AL
365,2015,2017.833333,St. Clair County,AL
366,2010,4739.75,Talladega County,AL
367,2011,4101.083333,Talladega County,AL
368,2012,3282.083333,Talladega County,AL
369,2013,3070.75,Talladega County,AL
370,2014,2747.833333,Talladega County,AL
371,2015,2309.5,Talladega County,AL
372,2010,4402.666667,Lauderdale County,AL
373,2011,4021.583333,Lauderdale County,AL
374,2012,3324.75,Lauderdale County,AL
375,2013,3066.75,Lauderdale County,AL
376,2014,3126.833333,Lauderdale County,AL
377,2015,2961.583333,Lauderdale County,AL
378,2010,10861.16667,Montgomery County,AL
379,2011,10600.83333,Montgomery County,AL
380,2012,8654.166667,Montgomery County,AL
381,2013,7747.083333,Montgomery County,AL
382,2014,7203.666667,Montgomery County,AL
383,2015,6407.916667,Montgomery County,AL
384,2010,2499.833333,Tallapoosa County,AL
385,2011,2096.833333,Tallapoosa County,AL
386,2012,1591,Tallapoosa County,AL
387,2013,1489.75,Tallapoosa County,AL
388,2014,1382.666667,Tallapoosa County,AL
389,2015,1141.916667,Tallapoosa County,AL
390,2010,8642,Tuscaloosa County,AL
391,2011,7931.416667,Tuscaloosa County,AL
392,2012,6656.5,Tuscaloosa County,AL
393,2013,6076.083333,Tuscaloosa County,AL
394,2014,5732.5,Tuscaloosa County,AL
395,2015,5384.916667,Tuscaloosa County,AL
396,2010,1049.75,Washington County,AL
397,2011,1036.166667,Washington County,AL
398,2012,820.75,Washington County,AL
399,2013,728.9166667,Washington County,AL
400,2014,638.8333333,Washington County,AL
401,2015,597,Washington County,AL
402,2010,316.75,Lee County,AR
403,2011,351.9166667,Lee County,AR
404,2012,334.0833333,Lee County,AR
405,2013,308.1666667,Lee County,AR
406,2014,246.4166667,Lee County,AR
407,2015,211.9166667,Lee County,AR
408,2010,819.5833333,Clay County,AR
409,2011,885.4166667,Clay County,AR
410,2012,753.8333333,Clay County,AR
411,2013,635.0833333,Clay County,AR
412,2014,501.0833333,Clay County,AR
413,2015,415.1666667,Clay County,AR
414,2010,934.6666667,Drew County,AR
415,2011,1004.666667,Drew County,AR
416,2012,892.4166667,Drew County,AR
417,2013,799.25,Drew County,AR
418,2014,671.8333333,Drew County,AR
419,2015,552.0833333,Drew County,AR
420,2010,442.75,Pike County,AR
421,2011,468.4166667,Pike County,AR
422,2012,396.9166667,Pike County,AR
423,2013,371.0833333,Pike County,AR
424,2014,308.5,Pike County,AR
425,2015,246.25,Pike County,AR
426,2010,669.6666667,Polk County,AR
427,2011,721.25,Polk County,AR
428,2012,646.5833333,Polk County,AR
429,2013,605.3333333,Polk County,AR
430,2014,528.75,Polk County,AR
431,2015,480.25,Polk County,AR
432,2010,2347.916667,Pope County,AR
433,2011,2392,Pope County,AR
434,2012,2183.666667,Pope County,AR
435,2013,2170.916667,Pope County,AR
436,2014,1850.833333,Pope County,AR
437,2015,1565.75,Pope County,AR
438,2010,786.25,Yell County,AR
439,2011,718.5833333,Yell County,AR
440,2012,623.9166667,Yell County,AR
441,2013,594,Yell County,AR
442,2014,508.25,Yell County,AR
443,2015,454.5,Yell County,AR
444,2010,1293.333333,Boone County,AR
445,2011,1329.75,Boone County,AR
446,2012,1258.75,Boone County,AR
447,2013,1125.666667,Boone County,AR
448,2014,936.8333333,Boone County,AR
449,2015,772.25,Boone County,AR
450,2010,874.9166667,Clark County,AR
451,2011,1074.25,Clark County,AR
452,2012,1021.75,Clark County,AR
453,2013,893,Clark County,AR
454,2014,662.6666667,Clark County,AR
455,2015,524.5833333,Clark County,AR
456,2010,715.1666667,Cross County,AR
457,2011,739.75,Cross County,AR
458,2012,677.4166667,Cross County,AR
459,2013,620.9166667,Cross County,AR
460,2014,514.0833333,Cross County,AR
461,2015,437.6666667,Cross County,AR
462,2010,654.5,Desha County,AR
463,2011,686.5833333,Desha County,AR
464,2012,587.25,Desha County,AR
465,2013,543.75,Desha County,AR
466,2014,447.75,Desha County,AR
467,2015,405,Desha County,AR
468,2010,606.5,Grant County,AR
469,2011,631.6666667,Grant County,AR
470,2012,572.6666667,Grant County,AR
471,2013,539.9166667,Grant County,AR
472,2014,448.0833333,Grant County,AR
473,2015,375.0833333,Grant County,AR
474,2010,517.3333333,Izard County,AR
475,2011,518.8333333,Izard County,AR
476,2012,453.75,Izard County,AR
477,2013,431.8333333,Izard County,AR
478,2014,369.5,Izard County,AR
479,2015,328.8333333,Izard County,AR
480,2010,841.0833333,Logan County,AR
481,2011,850.75,Logan County,AR
482,2012,768.5833333,Logan County,AR
483,2013,718.1666667,Logan County,AR
484,2014,541.8333333,Logan County,AR
485,2015,526.0833333,Logan County,AR
486,2010,406.25,Perry County,AR
487,2011,422.0833333,Perry County,AR
488,2012,400.5,Perry County,AR
489,2013,407.9166667,Perry County,AR
490,2014,326.4166667,Perry County,AR
491,2015,256.9166667,Perry County,AR
492,2010,335.3333333,Scott County,AR
493,2011,343.25,Scott County,AR
494,2012,312.25,Scott County,AR
495,2013,288.1666667,Scott County,AR
496,2014,228.3333333,Scott County,AR
497,2015,215,Scott County,AR
498,2010,618.5,Sharp County,AR
499,2011,674.9166667,Sharp County,AR
500,2012,619.3333333,Sharp County,AR
501,2013,585.5833333,Sharp County,AR
502,2014,503.75,Sharp County,AR
503,2015,413.25,Sharp County,AR
504,2010,419,Stone County,AR
505,2011,483.0833333,Stone County,AR
506,2012,416.1666667,Stone County,AR
507,2013,402.6666667,Stone County,AR
508,2014,357.75,Stone County,AR
509,2015,293.75,Stone County,AR
510,2010,1942.083333,Union County,AR
511,2011,1790.166667,Union County,AR
512,2012,1544.333333,Union County,AR
513,2013,1426.25,Union County,AR
514,2014,1224.333333,Union County,AR
515,2015,1033.5,Union County,AR
516,2010,3004.5,White County,AR
517,2011,3188.25,White County,AR
518,2012,2850.25,White County,AR
519,2013,2735.333333,White County,AR
520,2014,2420.5,White County,AR
521,2015,2145.416667,White County,AR
522,2010,980,Ashley County,AR
523,2011,1106,Ashley County,AR
524,2012,1139.833333,Ashley County,AR
525,2013,969.5833333,Ashley County,AR
526,2014,783.5,Ashley County,AR
527,2015,630.75,Ashley County,AR
528,2010,1559.666667,Baxter County,AR
529,2011,1540.916667,Baxter County,AR
530,2012,1378.583333,Baxter County,AR
531,2013,1292.083333,Baxter County,AR
532,2014,1066.916667,Baxter County,AR
533,2015,888.0833333,Baxter County,AR
534,2010,7121.583333,Benton County,AR
535,2011,7132.916667,Benton County,AR
536,2012,6659.083333,Benton County,AR
537,2013,6290.416667,Benton County,AR
538,2014,5305.333333,Benton County,AR
539,2015,4580.166667,Benton County,AR
540,2010,526.8333333,Chicot County,AR
541,2011,563.5,Chicot County,AR
542,2012,461.5833333,Chicot County,AR
543,2013,445.5833333,Chicot County,AR
544,2014,402.4166667,Chicot County,AR
545,2015,337.5,Chicot County,AR
546,2010,872.5833333,Conway County,AR
547,2011,893.3333333,Conway County,AR
548,2012,802.0833333,Conway County,AR
549,2013,796.75,Conway County,AR
550,2014,613.75,Conway County,AR
551,2015,526.0833333,Conway County,AR
552,2010,430.3333333,Dallas County,AR
553,2011,414.0833333,Dallas County,AR
554,2012,366.5,Dallas County,AR
555,2013,318.3333333,Dallas County,AR
556,2014,267.5833333,Dallas County,AR
557,2015,206.5833333,Dallas County,AR
558,2010,405.25,Fulton County,AR
559,2011,398.0833333,Fulton County,AR
560,2012,367.25,Fulton County,AR
561,2013,339.25,Fulton County,AR
562,2014,277.3333333,Fulton County,AR
563,2015,247.5,Fulton County,AR
564,2010,1914.75,Greene County,AR
565,2011,1958.166667,Greene County,AR
566,2012,1731.416667,Greene County,AR
567,2013,1530.916667,Greene County,AR
568,2014,1239.583333,Greene County,AR
569,2015,1031.916667,Greene County,AR
570,2010,508.3333333,Howard County,AR
571,2011,505.75,Howard County,AR
572,2012,430.5833333,Howard County,AR
573,2013,398.5,Howard County,AR
574,2014,359,Howard County,AR
575,2015,255.25,Howard County,AR
576,2010,2251,Lonoke County,AR
577,2011,2325,Lonoke County,AR
578,2012,2101,Lonoke County,AR
579,2013,1996.75,Lonoke County,AR
580,2014,1669.75,Lonoke County,AR
581,2015,1381.583333,Lonoke County,AR
582,2010,681.1666667,Marion County,AR
583,2011,637.5,Marion County,AR
584,2012,543.4166667,Marion County,AR
585,2013,500.8333333,Marion County,AR
586,2014,409.5833333,Marion County,AR
587,2015,337.3333333,Marion County,AR
588,2010,1196.333333,Miller County,AR
589,2011,1323.583333,Miller County,AR
590,2012,1204.75,Miller County,AR
591,2013,1253.166667,Miller County,AR
592,2014,1124.833333,Miller County,AR
593,2015,994,Miller County,AR
594,2010,315.0833333,Monroe County,AR
595,2011,323,Monroe County,AR
596,2012,295.6666667,Monroe County,AR
597,2013,273.6666667,Monroe County,AR
598,2014,207.9166667,Monroe County,AR
599,2015,179.75,Monroe County,AR
600,2010,401.5833333,Nevada County,AR
601,2011,396.3333333,Nevada County,AR
602,2012,320.75,Nevada County,AR
603,2013,291.1666667,Nevada County,AR
604,2014,222.5833333,Nevada County,AR
605,2015,181.4166667,Nevada County,AR
606,2010,262.25,Newton County,AR
607,2011,285,Newton County,AR
608,2012,265.75,Newton County,AR
609,2013,241.0833333,Newton County,AR
610,2014,195.8333333,Newton County,AR
611,2015,164,Newton County,AR
612,2010,3558,Saline County,AR
613,2011,3607.833333,Saline County,AR
614,2012,3321.166667,Saline County,AR
615,2013,3164.416667,Saline County,AR
616,2014,2638.833333,Saline County,AR
617,2015,2278,Saline County,AR
618,2010,312.3333333,Searcy County,AR
619,2011,305.5,Searcy County,AR
620,2012,264.1666667,Searcy County,AR
621,2013,248.3333333,Searcy County,AR
622,2014,189.8333333,Searcy County,AR
623,2015,170.5833333,Searcy County,AR
624,2010,496.3333333,Sevier County,AR
625,2011,590.1666667,Sevier County,AR
626,2012,537.5,Sevier County,AR
627,2013,494.8333333,Sevier County,AR
628,2014,404.5833333,Sevier County,AR
629,2015,342.8333333,Sevier County,AR
630,2010,539.6666667,Bradley County,AR
631,2011,571.5833333,Bradley County,AR
632,2012,485.4166667,Bradley County,AR
633,2013,405.4166667,Bradley County,AR
634,2014,347.4166667,Bradley County,AR
635,2015,265.5,Bradley County,AR
636,2010,235.5,Calhoun County,AR
637,2011,254.3333333,Calhoun County,AR
638,2012,229.25,Calhoun County,AR
639,2013,198.4166667,Calhoun County,AR
640,2014,156,Calhoun County,AR
641,2015,130.5,Calhoun County,AR
642,2010,925.0833333,Carroll County,AR
643,2011,931.6666667,Carroll County,AR
644,2012,788.6666667,Carroll County,AR
645,2013,736.1666667,Carroll County,AR
646,2014,648.3333333,Carroll County,AR
647,2015,576.9166667,Carroll County,AR
648,2010,3516.5,Garland County,AR
649,2011,3660,Garland County,AR
650,2012,3254.166667,Garland County,AR
651,2013,3090.666667,Garland County,AR
652,2014,2549.75,Garland County,AR
653,2015,2180.916667,Garland County,AR
654,2010,797.5833333,Jackson County,AR
655,2011,779.1666667,Jackson County,AR
656,2012,695.6666667,Jackson County,AR
657,2013,682.9166667,Jackson County,AR
658,2014,569.5833333,Jackson County,AR
659,2015,465,Jackson County,AR
660,2010,904.75,Johnson County,AR
661,2011,878,Johnson County,AR
662,2012,796.0833333,Johnson County,AR
663,2013,807.5,Johnson County,AR
664,2014,673.1666667,Johnson County,AR
665,2015,597.9166667,Johnson County,AR
666,2010,440.9166667,Lincoln County,AR
667,2011,446.8333333,Lincoln County,AR
668,2012,400.5833333,Lincoln County,AR
669,2013,360.75,Lincoln County,AR
670,2014,298.0833333,Lincoln County,AR
671,2015,253.25,Lincoln County,AR
672,2010,514.25,Madison County,AR
673,2011,490.6666667,Madison County,AR
674,2012,408,Madison County,AR
675,2013,396.3333333,Madison County,AR
676,2014,336.0833333,Madison County,AR
677,2015,272.4166667,Madison County,AR
678,2010,365.25,Prairie County,AR
679,2011,341.1666667,Prairie County,AR
