,Year,county,state,count
363,2010,DEAF SMITH,TX,1107
364,2010,DEARBORN,IN,872
365,2010,DECATUR,IA,16
366,2010,DECATUR,IN,420
367,2010,DEER LODGE,MT,500
368,2010,DEKALB,AL,576
369,2010,DEKALB,IL,4806
370,2010,DEKALB,IN,996
371,2010,DEKALB,MO,195
372,2010,DELAWARE,IA,267
373,2010,DELAWARE,IN,6645
374,2010,DELTA,MI,2098
375,2010,DELTA,TX,242
376,2010,DENT,MO,698
377,2010,DENTON,TX,13919
378,2010,DES MOINES,IA,2824
379,2010,DESHA,AR,826
380,2010,DESOTO,MS,9319
381,2010,DEWITT,TX,523
382,2010,DICKENS,TX,13
383,2010,DICKENSON,VA,491
384,2010,DICKEY,ND,55
385,2010,DICKINSON,IA,356
386,2010,DICKINSON,MI,138
387,2010,DIMMIT,TX,409
388,2010,DINWIDDIE,VA,1055
389,2010,DIVIDE,ND,0
390,2010,DODGE,MN,722
391,2010,DONLEY,TX,98
392,2010,DORCHESTER,MD,2387
393,2010,DOUGLAS,IL,224
394,2010,DOUGLAS,MN,1428
395,2010,DOUGLAS,MO,402
396,2010,DREW,AR,1174
397,2010,DUBOIS,IN,662
398,2010,DUBUQUE,IA,4362
399,2010,DUCHESNE,UT,677
400,2010,DUKES,MA,1086
401,2010,DUNKLIN,MO,1971
402,2010,DUNN,ND,0
403,2010,DUPAGE,IL,23898
404,2010,DUPLIN,NC,2938
405,2010,DURHAM,NC,2903
406,2010,DUVAL,TX,508
407,2010,EASTLAND,TX,612
408,2010,EATON,MI,4450
409,2010,ECTOR,TX,3064
410,2010,EDDY,ND,24
411,2010,EDGAR,IL,488
412,2010,EDGECOMBE,NC,2234
413,2010,EDWARDS,IL,68
414,2010,EDWARDS,TX,68
415,2010,EFFINGHAM,IL,1193
416,2010,EL PASO,TX,48323
417,2010,ELKHART,IN,10610
418,2010,ELLIS,TX,7080
419,2010,ELMORE,AL,132
420,2010,ELMORE,ID,957
421,2010,EMERY,UT,176
422,2010,EMMET,IA,292
423,2010,EMMET,MI,1004
424,2010,EMMONS,ND,64
425,2010,ERATH,TX,1671
426,2010,ESCAMBIA,AL,2020
427,2010,ESSEX,MA,37572
428,2010,ESSEX,VA,337
429,2010,ETOWAH,AL,8334
430,2010,FAIRFAX,VA,35933
431,2010,FALLON,MT,64
432,2010,FALLS,TX,604
433,2010,FANNIN,TX,1221
434,2010,FARIBAULT,MN,332
435,2010,FAULKNER,AR,8005
436,2010,FAUQUIER,VA,1894
437,2010,FAYETTE,AL,409
438,2010,FAYETTE,IA,520
439,2010,FAYETTE,IL,716
440,2010,FAYETTE,IN,1537
441,2010,FAYETTE,TX,847
442,2010,FERGUS,MT,116
443,2010,FILLMORE,MN,146
444,2010,FISHER,TX,128
445,2010,FLATHEAD,MT,5427
446,2010,FLOYD,IA,334
447,2010,FLOYD,IN,6156
448,2010,FLOYD,TX,227
449,2010,FLOYD,VA,352
450,2010,FLUVANNA,VA,595
451,2010,FOARD,TX,14
452,2010,FORD,IL,460
453,2010,FORREST,MS,1273
454,2010,FORSYTH,NC,36356
455,2010,FORT BEND,TX,18049
456,2010,FOSTER,ND,8
457,2010,FOUNTAIN,IN,177
458,2010,FRANKLIN,AL,1176
459,2010,FRANKLIN,AR,725
460,2010,FRANKLIN,IA,48
461,2010,FRANKLIN,ID,108
462,2010,FRANKLIN,IL,2066
463,2010,FRANKLIN,IN,327
464,2010,FRANKLIN,MA,2828
465,2010,FRANKLIN,ME,1248
466,2010,FRANKLIN,MO,4029
467,2010,FRANKLIN,MS,108
468,2010,FRANKLIN,NC,2925
469,2010,FRANKLIN,TX,254
470,2010,FRANKLIN,VA,1693
471,2010,FREDERICK,MD,9418
472,2010,FREDERICK,VA,3363
473,2010,FREEBORN,MN,1137
474,2010,FREESTONE,TX,689
475,2010,FREMONT,IA,0
476,2010,FREMONT,ID,214
477,2010,FRIO,TX,722
478,2010,FULTON,AR,278
479,2010,FULTON,IL,1238
480,2010,FULTON,IN,389
481,2010,GAINES,TX,352
482,2010,GALLATIN,IL,204
483,2010,GALLATIN,MT,4609
484,2010,GALVESTON,TX,17841
485,2010,GARFIELD,MT,4
486,2010,GARFIELD,UT,0
487,2010,GARLAND,AR,12347
488,2010,GARRETT,MD,1069
489,2010,GARZA,TX,76
490,2010,GASCONADE,MO,545
491,2010,GASTON,NC,12429
492,2010,GATES,NC,0
493,2010,GEM,ID,310
494,2010,GENESEE,MI,36597
495,2010,GENEVA,AL,1047
496,2010,GENTRY,MO,64
497,2010,GEORGE,MS,329
498,2010,GIBSON,IN,1063
499,2010,GILES,VA,542
500,2010,GILLESPIE,TX,678
501,2010,GLACIER,MT,323
502,2010,GLADWIN,MI,888
503,2010,GLASSCOCK,TX,28
504,2010,GLOUCESTER,VA,1229
505,2010,GOGEBIC,MI,73
506,2010,GOLDEN VALLEY,MT,6
507,2010,GOLDEN VALLEY,ND,24
508,2010,GOLIAD,TX,140
509,2010,GONZALES,TX,1058
510,2010,GOOCHLAND,VA,421
511,2010,GOODHUE,MN,2011
512,2010,GOODING,ID,301
513,2010,GRAHAM,NC,0
514,2010,GRAND,UT,750
515,2010,GRAND FORKS,ND,3633
516,2010,GRAND TRAVERSE,MI,2019
517,2010,GRANITE,MT,161
518,2010,GRANT,AR,782
519,2010,GRANT,IN,4564
520,2010,GRANT,MN,192
521,2010,GRANT,ND,22
522,2010,GRANVILLE,NC,3963
523,2010,GRATIOT,MI,866
524,2010,GRAY,TX,2054
525,2010,GRAYSON,TX,7796
526,2010,GRAYSON,VA,308
527,2010,GREENE,AL,612
528,2010,GREENE,AR,4150
529,2010,GREENE,IA,116
530,2010,GREENE,IL,263
531,2010,GREENE,IN,809
532,2010,GREENE,MO,4461
533,2010,GREENE,MS,108
534,2010,GREENE,NC,1423
535,2010,GREENE,VA,586
536,2010,GREENSVILLE,VA,332
537,2010,GREGG,TX,1725
538,2010,GRENADA,MS,1544
539,2010,GRIGGS,ND,14
540,2010,GRIMES,TX,1234
541,2010,GRUNDY,IA,197
542,2010,GRUNDY,IL,1511
543,2010,GRUNDY,MO,476
544,2010,GUADALUPE,TX,4705
545,2010,GUILFORD,NC,35342
546,2010,GUTHRIE,IA,108
547,2010,HALE,AL,362
548,2010,HALE,TX,2266
549,2010,HALIFAX,NC,4988
550,2010,HALIFAX,VA,1854
551,2010,HALL,TX,148
552,2010,HAMILTON,IA,772
553,2010,HAMILTON,IL,20
554,2010,HAMILTON,IN,6099
555,2010,HAMILTON,TX,417
556,2010,HAMPDEN,MA,39628
557,2010,HAMPSHIRE,MA,7229
558,2010,HANCOCK,IA,162
559,2010,HANCOCK,IL,154
560,2010,HANCOCK,IN,1412
561,2010,HANCOCK,ME,1598
562,2010,HANCOCK,MS,1518
563,2010,HANOVER,VA,2429
564,2010,HANSFORD,TX,95
565,2010,HARDEMAN,TX,294
566,2010,HARDIN,IA,571
567,2010,HARDIN,IL,58
568,2010,HARDIN,TX,1925
569,2010,HARFORD,MD,10746
570,2010,HARNETT,NC,6976
571,2010,HARRIS,TX,163950
572,2010,HARRISON,IA,212
573,2010,HARRISON,IN,1183
574,2010,HARRISON,MO,205
575,2010,HARRISON,MS,18214
576,2010,HARRISON,TX,4007
577,2010,HARTLEY,TX,86
578,2010,HASKELL,TX,120
